,Free Ligand,ee,ΔΔG‡,HOMO,LUMO,softness,Dipole,Pol,Torsion,VBur,B1,B5,BL,VolNi,Volavg X,NBOC1,NBON1,NBOC2,NBOC3,NBOX,NBOC4,νCNssy,iCNssy,νCNsas,iCNsas,type
18,L24,55,0.73,-0.256,-0.058,6.37,7.15,337.7,13.81,38.8,1.93,11.43,5.44,0.642,0.537,0.527,-0.485,-0.096,-0.096,-0.435,-0.391,1765,108.31,1759,48.31,biim
12,L18,57,0.77,-0.295,-0.048,5.83,5.51,373.2,19.39,34.2,3.11,13.48,8.07,0.613,0.496,0.523,-0.485,-0.087,-0.092,-0.438,-0.415,1756,119.38,1754,41.93,biox
11,L17,62,0.86,-0.283,-0.045,6.1,6.03,282.6,11.61,50.2,3.2,9.7,5.75,0.713,0.498,0.521,-0.467,-0.088,-0.09,-0.439,-0.413,1773,121.56,1759,52.51,biox
7,L14,87,1.58,-0.34,-0.044,5.2,6.6,236.0,17.52,42.5,2.97,9.18,6.58,0.673,0.497,0.524,-0.48,-0.09,-0.091,-0.439,-0.21,1765,133.09,1762,39.58,biim
14,L20,63,0.88,-0.264,-0.04,6.57,5.22,286.7,12.34,51.8,3.22,9.29,5.23,0.724,0.5,0.521,-0.475,-0.094,-0.089,-0.44,-0.412,1771,108.62,1762,62.8,biox
24,L27,84,1.45,-0.3,-0.053,5.66,5.08,339.2,30.66,42.9,2.16,9.71,4.61,0.671,0.784,0.445,-0.503,-0.065,-0.22,-0.421,-0.218,1693,32.25,1713,91.42,biim
21,L7,85,1.49,-0.286,-0.045,6.05,10.94,309.3,20.11,47.0,1.91,8.29,4.58,0.702,0.81,0.429,-0.493,-0.062,-0.217,-0.424,-0.207,1697,225.65,1707,25.43,biim
20,L6,89,1.68,-0.282,-0.042,6.18,11.38,406.2,20.51,47.1,2.42,9.26,4.58,0.702,0.813,0.431,-0.496,-0.062,-0.215,-0.423,-0.207,1697,208.43,1706,31.66,biim
1,L10,64,0.9,-0.343,-0.045,5.15,7.55,249.4,18.23,34.1,2.58,12.1,5.47,0.609,0.498,0.52,-0.477,-0.097,-0.095,-0.44,-0.392,1765,103.55,1760,50.52,biox
8,L15,73,1.1,-0.312,-0.053,5.48,7.13,233.0,14.92,40.5,1.87,9.01,6.77,0.652,0.5,0.519,-0.474,-0.111,-0.087,-0.436,-0.046,1761,125.67,1758,40.22,biim
16,L22,59,0.8,-0.271,-0.049,6.23,7.65,355.5,12.04,37.9,3.11,8.05,6.27,0.633,0.528,0.532,-0.49,-0.088,-0.094,-0.433,-0.418,1762,88.07,1755,56.44,biim
4,L12,89,1.68,-0.343,-0.046,5.14,6.84,197.2,16.57,43.0,2.69,8.4,5.48,0.678,0.498,0.524,-0.48,-0.091,-0.092,-0.438,-0.207,1766,136.16,1763,33.62,biox
3,L11,66,0.94,-0.34,-0.047,5.16,7.1,195.5,8.08,37.2,2.9,6.57,5.58,0.631,0.527,0.526,-0.48,-0.095,-0.095,-0.44,-0.391,1769,107.3,1764,39.07,biox
13,L19,62,0.86,-0.343,-0.068,4.86,7.2,297.6,20.2,34.7,3.1,12.48,5.59,0.617,0.494,0.526,-0.488,-0.087,-0.093,-0.433,-0.426,1752,119.9,1752,44.32,biox
19,L25,53,0.7,-0.292,-0.045,5.94,4.9,381.0,1.21,66.4,3.15,9.21,6.12,0.821,0.507,0.528,-0.471,-0.078,-0.09,-0.438,-0.253,1763,88.79,1772,80.29,biim
0,L9,65,0.92,-0.349,-0.048,5.04,7.88,125.0,19.45,33.8,1.87,6.89,3.41,0.61,0.498,0.519,-0.479,-0.1,-0.09,-0.438,-0.602,1759,24.02,1763,135.74,biox
25,L28,75,1.15,-0.305,-0.036,5.86,11.31,201.8,8.03,41.3,2.73,7.7,4.57,0.66,0.692,0.408,-0.487,-0.055,-0.224,-0.403,-0.214,1772,138.28,1759,42.75,biim
28,L5,90,1.74,-0.296,-0.038,5.98,11.72,237.95,4.24,45.9,2.7,7.28,4.55,0.696,0.734,0.423,-0.489,-0.064,-0.216,-0.409,-0.21,1688,206.93,1710,22.94,biim
5,L3,90,1.74,-0.336,-0.047,5.23,6.55,267.9,1.25,52.3,3.11,9.72,6.46,0.741,0.521,0.527,-0.479,-0.083,-0.092,-0.439,-0.207,1769,89.31,1754,62.2,biox
22,L8,75,1.15,-0.299,-0.058,5.59,8.44,334.0,20.58,46.8,1.98,8.73,4.59,0.7,0.815,0.425,-0.483,-0.062,-0.218,-0.427,-0.208,1702,208.68,1712,21.59,biim
6,L13,76,1.18,-0.346,-0.047,5.08,7.26,166.2,18.55,39.0,2.7,8.15,4.54,0.636,0.495,0.52,-0.479,-0.095,-0.086,-0.439,-0.249,1759,142.33,1757,27.95,biim
23,L26,85,1.49,-0.281,-0.041,6.22,12.09,411.8,19.46,47.1,1.91,10.49,4.58,0.704,0.808,0.43,-0.496,-0.062,-0.216,-0.422,-0.207,1693,250.96,1705,28.68,biim
